"threshold","precision","recall","f1"
0.725,0.900551070101243,0.212784641472868,0.344232983074926
0.73,0.902322495023225,0.205880571705426,0.335264676150793
0.735,0.906516359637064,0.199672965116279,0.327261898853541
0.74,0.909245845760545,0.193859011627907,0.319580681392737
0.745,0.914117647058823,0.188226744186047,0.312173563680193
0.75,0.916831985350221,0.181928294573643,0.303610682972433
0.755,0.918777707409753,0.175720687984496,0.295017793594306
0.76,0.920433996383363,0.169543362403101,0.286342598511775
0.765,0.922066848567531,0.163729408914729,0.278080641843242
0.77,0.925558312655087,0.15812742248062,0.27010810531216
0.775,0.926500461680517,0.151919815891473,0.26103696766305
0.78,0.929414039837556,0.145530523255814,0.251655975913078
